Date,Animal,Genotype,dilution_factor,Cal0,Cal5,Cal15,Cal30,Cal60,Cal120,Cal240,OD
04.10.2023,651,KO,10,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.889
04.10.2023,651,KO,10,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.895
04.10.2023,666,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.431
04.10.2023,666,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.472
04.10.2023,667,KO,8,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.529
04.10.2023,667,KO,8,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.599
04.10.2023,668,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.309
04.10.2023,668,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.609
04.10.2023,669,KO,7,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.407
04.10.2023,669,KO,7,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.421
04.10.2023,674,KO,4,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.466
04.10.2023,674,KO,4,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.507
04.10.2023,732,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.308
04.10.2023,732,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.353
04.10.2023,735,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.272
04.10.2023,735,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.264
04.10.2023,786,KO,7,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.637
04.10.2023,786,KO,7,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.6
04.10.2023,787,KO,4,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.419
04.10.2023,787,KO,4,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.415
04.10.2023,960,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.238
04.10.2023,960,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.246
04.10.2023,961,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.203
04.10.2023,961,KO,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.197
04.10.2023,1439,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.336
04.10.2023,1439,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.393
04.10.2023,1440,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.236
04.10.2023,1440,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.266
04.10.2023,1442,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.296
04.10.2023,1442,KO,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.327
04.10.2023,203,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.216
04.10.2023,203,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.246
04.10.2023,204,WT,3,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.432
04.10.2023,204,WT,3,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.434
04.10.2023,205,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.268
04.10.2023,205,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.315
04.10.2023,244,WT,3,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.355
04.10.2023,244,WT,3,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.122
04.10.2023,255,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.385
04.10.2023,255,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.124
04.10.2023,356,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.323
04.10.2023,356,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.106
04.10.2023,358,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.32
04.10.2023,358,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.146
04.10.2023,424,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.342
04.10.2023,424,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.432
04.10.2023,425,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.471
04.10.2023,425,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.928
04.10.2023,523,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.383
04.10.2023,523,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.738
04.10.2023,525,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.274
04.10.2023,525,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.316
04.10.2023,543,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.318
04.10.2023,543,WT,1,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.163
04.10.2023,544,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.101
04.10.2023,544,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.106
04.10.2023,547,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.091
04.10.2023,547,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.091
04.10.2023,573,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.085
04.10.2023,573,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.089
04.10.2023,574,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.531
04.10.2023,574,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.304
04.10.2023,633,WT,2,2.725,0.953,0.452,0.979,0.29,0.202,0.482,0.517
